lookupVariable,lookupValue_na,lookupValue,newVariable,newValue
Species,resourcePotentialesswss643BIOMASS,resourcePotentialesswss643BIOMASS.csv,Spp,Esmark'S Eelpout
Species,resourcePotentialesswss644BIOMASS,resourcePotentialesswss644BIOMASS.csv,Spp,"Blennies,Shannies,Gunnels"
Species,resourcePotentialesswss645BIOMASS,resourcePotentialesswss645BIOMASS.csv,Spp,Shanny-Unidentified
Species,resourcePotentialesswss646BIOMASS,resourcePotentialesswss646BIOMASS.csv,Spp,Atl Soft Pout
Species,resourcePotentialesswss647BIOMASS,resourcePotentialesswss647BIOMASS.csv,Spp,Checker  Eelpout(Vahl)
Species,resourcePotentialesswss648BIOMASS,resourcePotentialesswss648BIOMASS.csv,Spp,Eel-Unidentified
Species,resourcePotentialesswss649BIOMASS,resourcePotentialesswss649BIOMASS.csv,Spp,Cusk-Eels
Species,resourcePotentialesswss650BIOMASS,resourcePotentialesswss650BIOMASS.csv,Spp,Fawn Cusk Eel
Species,resourcePotentialesswss651BIOMASS,resourcePotentialesswss651BIOMASS.csv,Spp,European Eel
Species,resourcePotentialesswss652BIOMASS,resourcePotentialesswss652BIOMASS.csv,Spp,Percoidei F.
Species,resourcePotentialesswss653BIOMASS,resourcePotentialesswss653BIOMASS.csv,Spp,Coral Dragonet
Species,resourcePotentialesswss654BIOMASS,resourcePotentialesswss654BIOMASS.csv,Spp,Mooneye Cusk-Eel
Species,resourcePotentialesswss655BIOMASS,resourcePotentialesswss655BIOMASS.csv,Spp,Bythitidae F.
Species,resourcePotentialesswss656BIOMASS,resourcePotentialesswss656BIOMASS.csv,Spp,Serrivomer Sp.
Species,resourcePotentialesswss657BIOMASS,resourcePotentialesswss657BIOMASS.csv,Spp,Callionymus Sp.
Species,resourcePotentialesswss658BIOMASS,resourcePotentialesswss658BIOMASS.csv,Spp,C. Pauciradiatus
Species,resourcePotentialesswss659BIOMASS,resourcePotentialesswss659BIOMASS.csv,Spp,Facciolella Sp.
Species,resourcePotentialesswss660BIOMASS,resourcePotentialesswss660BIOMASS.csv,Spp,Cusk Eels (Ns)
Species,resourcePotentialesswss661BIOMASS,resourcePotentialesswss661BIOMASS.csv,Spp,Red Barbier
Species,resourcePotentialesswss662BIOMASS,resourcePotentialesswss662BIOMASS.csv,Spp,Spiny Eels (Ns)
Species,resourcePotentialesswss663BIOMASS,resourcePotentialesswss663BIOMASS.csv,Spp,Diplectrum Sp.
Species,resourcePotentialesswss664BIOMASS,resourcePotentialesswss664BIOMASS.csv,Spp,Sea Basses
Species,resourcePotentialesswss665BIOMASS,resourcePotentialesswss665BIOMASS.csv,Spp,"Dragonfishes,Smooth"
Species,resourcePotentialesswss666BIOMASS,resourcePotentialesswss666BIOMASS.csv,Spp,L. Atlanticum
Species,resourcePotentialesswss667BIOMASS,resourcePotentialesswss667BIOMASS.csv,Spp,V. Poweriae
Species,resourcePotentialesswss668BIOMASS,resourcePotentialesswss668BIOMASS.csv,Spp,Anthias Sp.
Species,resourcePotentialesswss669BIOMASS,resourcePotentialesswss669BIOMASS.csv,Spp,Atherinidae F.
Species,resourcePotentialesswss670BIOMASS,resourcePotentialesswss670BIOMASS.csv,Spp,E. Fissibarbis
Species,resourcePotentialesswss671BIOMASS,resourcePotentialesswss671BIOMASS.csv,Spp,V. Attenuata
Species,resourcePotentialesswss672BIOMASS,resourcePotentialesswss672BIOMASS.csv,Spp,Pontinus
Species,resourcePotentialesswss673BIOMASS,resourcePotentialesswss673BIOMASS.csv,Spp,Synagrops Spinosa
Species,resourcePotentialesswss674BIOMASS,resourcePotentialesswss674BIOMASS.csv,Spp,P. Coregonoides
Species,resourcePotentialesswss675BIOMASS,resourcePotentialesswss675BIOMASS.csv,Spp,Pugnose Pipefish
Species,resourcePotentialesswss676BIOMASS,resourcePotentialesswss676BIOMASS.csv,Spp,Bull Pipefish
Species,resourcePotentialesswss677BIOMASS,resourcePotentialesswss677BIOMASS.csv,Spp,E. Denticulatus
Species,resourcePotentialesswss678BIOMASS,resourcePotentialesswss678BIOMASS.csv,Spp,Ballyhoo
Species,resourcePotentialesswss679BIOMASS,resourcePotentialesswss679BIOMASS.csv,Spp,V. Tripunctulatus
Species,resourcePotentialesswss680BIOMASS,resourcePotentialesswss680BIOMASS.csv,Spp,Stomiatiformes
Species,resourcePotentialesswss681BIOMASS,resourcePotentialesswss681BIOMASS.csv,Spp,S. Analis
Species,resourcePotentialesswss682BIOMASS,resourcePotentialesswss682BIOMASS.csv,Spp,Fourwing Flying Fish
Species,resourcePotentialesswss683BIOMASS,resourcePotentialesswss683BIOMASS.csv,Spp,F.Oneirodidae
Species,resourcePotentialesswss684BIOMASS,resourcePotentialesswss684BIOMASS.csv,Spp,V. Nimbaria
Species,resourcePotentialesswss685BIOMASS,resourcePotentialesswss685BIOMASS.csv,Spp,Twospot Cardinalfish
Species,resourcePotentialesswss686BIOMASS,resourcePotentialesswss686BIOMASS.csv,Spp,Melamphaes Sp.
Species,resourcePotentialesswss687BIOMASS,resourcePotentialesswss687BIOMASS.csv,Spp,Ceratioidei S.O.
Species,resourcePotentialesswss688BIOMASS,resourcePotentialesswss688BIOMASS.csv,Spp,L. Jayakari
Species,resourcePotentialesswss689BIOMASS,resourcePotentialesswss689BIOMASS.csv,Spp,Cutlassfishes (Ns)
Species,resourcePotentialesswss690BIOMASS,resourcePotentialesswss690BIOMASS.csv,Spp,Bregmaceros Sp.
Species,resourcePotentialesswss691BIOMASS,resourcePotentialesswss691BIOMASS.csv,Spp,Sudis Hyalina
Species,resourcePotentialesswss692BIOMASS,resourcePotentialesswss692BIOMASS.csv,Spp,Porcupinefishes (Ns)
Species,resourcePotentialesswss693BIOMASS,resourcePotentialesswss693BIOMASS.csv,Spp,Largescale Tonguefish
Species,resourcePotentialesswss694BIOMASS,resourcePotentialesswss694BIOMASS.csv,Spp,Batfishes
Species,resourcePotentialesswss695BIOMASS,resourcePotentialesswss695BIOMASS.csv,Spp,Sand Perch
Species,resourcePotentialesswss696BIOMASS,resourcePotentialesswss696BIOMASS.csv,Spp,C. Acclinidens
Species,resourcePotentialesswss697BIOMASS,resourcePotentialesswss697BIOMASS.csv,Spp,Cardinal Fishes
Species,resourcePotentialesswss698BIOMASS,resourcePotentialesswss698BIOMASS.csv,Spp,Snowy Grouper
Species,resourcePotentialesswss699BIOMASS,resourcePotentialesswss699BIOMASS.csv,Spp,Atl Wreckfish
Species,resourcePotentialesswss700BIOMASS,resourcePotentialesswss700BIOMASS.csv,Spp,Atl Silver Hatchfish
Species,resourcePotentialesswss701BIOMASS,resourcePotentialesswss701BIOMASS.csv,Spp,Butterfish
Species,resourcePotentialesswss702BIOMASS,resourcePotentialesswss702BIOMASS.csv,Spp,Northern Pipefish
Species,resourcePotentialesswss703BIOMASS,resourcePotentialesswss703BIOMASS.csv,Spp,Pelagic Pipefish
Species,resourcePotentialesswss704BIOMASS,resourcePotentialesswss704BIOMASS.csv,Spp,Amer. John Dory
Species,resourcePotentialesswss705BIOMASS,resourcePotentialesswss705BIOMASS.csv,Spp,A. Gigas
Species,resourcePotentialesswss706BIOMASS,resourcePotentialesswss706BIOMASS.csv,Spp,A. Hemigymnus
Species,resourcePotentialesswss707BIOMASS,resourcePotentialesswss707BIOMASS.csv,Spp,A. Lychnus Lychnus
Species,resourcePotentialesswss708BIOMASS,resourcePotentialesswss708BIOMASS.csv,Spp,P. Asteroides
Species,resourcePotentialesswss709BIOMASS,resourcePotentialesswss709BIOMASS.csv,Spp,Transparent Hatchetfish
Species,resourcePotentialesswss710BIOMASS,resourcePotentialesswss710BIOMASS.csv,Spp,Longnose Lancetfish
Species,resourcePotentialesswss711BIOMASS,resourcePotentialesswss711BIOMASS.csv,Spp,Short Barracudina
Species,resourcePotentialesswss712BIOMASS,resourcePotentialesswss712BIOMASS.csv,Spp,White Barracudina
Species,resourcePotentialesswss713BIOMASS,resourcePotentialesswss713BIOMASS.csv,Spp,"Barracudina,Unid"
Species,resourcePotentialesswss714BIOMASS,resourcePotentialesswss714BIOMASS.csv,Spp,Frostfish
Species,resourcePotentialesswss715BIOMASS,resourcePotentialesswss715BIOMASS.csv,Spp,Sea Basses
Species,resourcePotentialesswss716BIOMASS,resourcePotentialesswss716BIOMASS.csv,Spp,Straightline Dragonfish
Species,resourcePotentialesswss717BIOMASS,resourcePotentialesswss717BIOMASS.csv,Spp,Torpedo Dragonfish
Species,resourcePotentialesswss718BIOMASS,resourcePotentialesswss718BIOMASS.csv,Spp,Bluenose Dragonfish
Species,resourcePotentialesswss719BIOMASS,resourcePotentialesswss719BIOMASS.csv,Spp,Odontostomias Sp.
Species,resourcePotentialesswss720BIOMASS,resourcePotentialesswss720BIOMASS.csv,Spp,"Atl Saury,Needlefish"
Species,resourcePotentialesswss721BIOMASS,resourcePotentialesswss721BIOMASS.csv,Spp,3Light Dragonfish
Species,resourcePotentialesswss722BIOMASS,resourcePotentialesswss722BIOMASS.csv,Spp,B. Metallicus
Species,resourcePotentialesswss723BIOMASS,resourcePotentialesswss723BIOMASS.csv,Spp,Ribbon Sawtailfish
Species,resourcePotentialesswss724BIOMASS,resourcePotentialesswss724BIOMASS.csv,Spp,Bairds Smoothead
Species,resourcePotentialesswss725BIOMASS,resourcePotentialesswss725BIOMASS.csv,Spp,Atlantic Gymnast
Species,resourcePotentialesswss726BIOMASS,resourcePotentialesswss726BIOMASS.csv,Spp,Mentodus Rostratus
Species,resourcePotentialesswss727BIOMASS,resourcePotentialesswss727BIOMASS.csv,Spp,White Barracudina
Species,resourcePotentialesswss728BIOMASS,resourcePotentialesswss728BIOMASS.csv,Spp,Short Barracudina
Species,resourcePotentialesswss729BIOMASS,resourcePotentialesswss729BIOMASS.csv,Spp,Omosudis Lowei
Species,resourcePotentialesswss730BIOMASS,resourcePotentialesswss730BIOMASS.csv,Spp,Ocean Sunfish
Species,resourcePotentialesswss731BIOMASS,resourcePotentialesswss731BIOMASS.csv,Spp,Shortnose Lancetfish
Species,resourcePotentialesswss732BIOMASS,resourcePotentialesswss732BIOMASS.csv,Spp,Daggertooth
Species,resourcePotentialesswss733BIOMASS,resourcePotentialesswss733BIOMASS.csv,Spp,Evermannella Sp.
Species,resourcePotentialesswss734BIOMASS,resourcePotentialesswss734BIOMASS.csv,Spp,Spotfin Flyingfish
Species,resourcePotentialesswss735BIOMASS,resourcePotentialesswss735BIOMASS.csv,Spp,Atl Flyingfish
Species,resourcePotentialesswss736BIOMASS,resourcePotentialesswss736BIOMASS.csv,Spp,Blackwing Flyingfish
Species,resourcePotentialesswss737BIOMASS,resourcePotentialesswss737BIOMASS.csv,Spp,Common Halfbeak
Species,resourcePotentialesswss738BIOMASS,resourcePotentialesswss738BIOMASS.csv,Spp,Banded Killifish
Species,resourcePotentialesswss739BIOMASS,resourcePotentialesswss739BIOMASS.csv,Spp,Shortspine Tapirfish
Species,resourcePotentialesswss740BIOMASS,resourcePotentialesswss740BIOMASS.csv,Spp,Spiny Eel
Species,resourcePotentialesswss741BIOMASS,resourcePotentialesswss741BIOMASS.csv,Spp,Hatchetfish
Species,resourcePotentialesswss742BIOMASS,resourcePotentialesswss742BIOMASS.csv,Spp,Atlantic Batfish
Species,resourcePotentialesswss743BIOMASS,resourcePotentialesswss743BIOMASS.csv,Spp,Amer Barrelfish
Species,resourcePotentialesswss744BIOMASS,resourcePotentialesswss744BIOMASS.csv,Spp,Stout Beard Fish
Species,resourcePotentialesswss745BIOMASS,resourcePotentialesswss745BIOMASS.csv,Spp,Anglemouth
Species,resourcePotentialesswss746BIOMASS,resourcePotentialesswss746BIOMASS.csv,Spp,Northern Puffer
Species,resourcePotentialesswss747BIOMASS,resourcePotentialesswss747BIOMASS.csv,Spp,Dolphinfish
Species,resourcePotentialesswss748BIOMASS,resourcePotentialesswss748BIOMASS.csv,Spp,Flying Fish(Unidentified)
Species,resourcePotentialesswss749BIOMASS,resourcePotentialesswss749BIOMASS.csv,Spp,Slickhead
Species,resourcePotentialesswss750BIOMASS,resourcePotentialesswss750BIOMASS.csv,Spp,Cardinalfish
Species,resourcePotentialesswss751BIOMASS,resourcePotentialesswss751BIOMASS.csv,Spp,Highfin Scorpionfish
Species,resourcePotentialesswss752BIOMASS,resourcePotentialesswss752BIOMASS.csv,Spp,Mauls Anglemouth
